"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-3.196527,55.657472,175,2020-07-24,23,"PEEB","Peebles","Urban Background",41.7598020833333
-4.142361,50.37167,175,2020-07-24,24,"PLYM","Plymouth Centre","Urban Background",33.9795654166667
0.678331,51.544166,175,2020-07-24,25,"SEND","Southend-on-Sea","Urban Background",36.9121358333333
1.463497,52.2944,175,2020-07-24,26,"SIB","Sibton","Rural Background",46.1907545833333
-2.175133,53.02821,175,2020-07-24,27,"STOK","Stoke-on-Trent Centre","Urban Background",33.108525
-1.406878,54.88361,175,2020-07-24,28,"SUN2","Sunderland Silksworth","Urban Background",34.7438908333333
-3.022722,53.37287,175,2020-07-24,29,"TRAN","Wirral Tranmere","Urban Background",40.1599995833333
-2.030371,52.605641,175,2020-07-24,30,"WAL4","Walsall Woodlands","Urban Background",37.7367479166667
0.290917,52.2985,175,2020-07-24,31,"WFEN","Wicken Fen","Rural Background",39.5328779166667
-2.638139,53.54914,175,2020-07-24,32,"WIG5","Wigan Centre","Urban Background",38.3465454166667
-3.2429,55.79216,176,2020-07-25,1,"ACTH","Auchencorth Moss","Rural Background",34.2089320833333
-1.874978,52.476145,176,2020-07-25,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",24.97881875
-3.205782,55.862281,176,2020-07-25,3,"BUSH","Bush Estate","Rural Background",34.19853875
-1.560189,52.411628,176,2020-07-25,4,"COAL","Coventry Allesley","Urban Background",32.0247491666667
-3.182186,55.945589,176,2020-07-25,7,"ED3","Edinburgh St Leonards","Urban Background",28.9390375
-5.101102,56.82266,176,2020-07-25,8,"FW","Fort William","Suburban Background",32.4058466666667
-4.243631,55.865782,176,2020-07-25,9,"GLKP","Glasgow Townhead","Urban Background",23.09616
-0.460861,51.49633,176,2020-07-25,10,"HIL","London Hillingdon","Urban Background",20.52452875
-0.341222,53.74878,176,2020-07-25,11,"HUL2","Hull Freetown","Urban Background",29.8869941666667
-1.127182,52.619904,176,2020-07-25,12,"LECU","Leicester University","Urban Background",27.2219025
-2.73684,52.221593,176,2020-07-25,13,"LEOM","Leominster","Suburban Background",35.24974625
-7.900328,54.43951,176,2020-07-25,14,"LN","Lough Navar","Rural Background",28.06869
-2.238917,53.371722,176,2020-07-25,15,"MAHG","Manchester Sharston","Suburban Industrial",28.3195391666667
-2.237881,53.48152,176,2020-07-25,16,"MAN3","Manchester Piccadilly","Urban Background",19.0083508333333
-9.903917,53.326444,176,2020-07-25,17,"MH","Mace Head","Rural Background",43.19775875
-1.610528,54.97825,176,2020-07-25,18,"NEWC","Newcastle Centre","Urban Background",29.2564091666667
1.302686,52.614823,176,2020-07-25,19,"NO12","Norwich Lakenfields","Urban Background",36.4180620833333
-1.146447,52.95473,176,2020-07-25,20,"NOTT","Nottingham Centre","Urban Background",29.2972920833333
-0.916605,52.272257,176,2020-07-25,21,"NTN4","Northampton Spring Park","Urban Background",37.6016220833333
1.04901,51.777874,176,2020-07-25,22,"OSY","St Osyth","Rural Background",35.74312625
-3.196527,55.657472,176,2020-07-25,23,"PEEB","Peebles","Urban Background",31.4924275
-4.142361,50.37167,176,2020-07-25,24,"PLYM","Plymouth Centre","Urban Background",32.4827904166667
0.678331,51.544166,176,2020-07-25,25,"SEND","Southend-on-Sea","Urban Background",29.7518695833333
1.463497,52.2944,176,2020-07-25,26,"SIB","Sibton","Rural Background",37.9758158333333
-2.175133,53.02821,176,2020-07-25,27,"STOK","Stoke-on-Trent Centre","Urban Background",27.963662173913
-1.406878,54.88361,176,2020-07-25,28,"SUN2","Sunderland Silksworth","Urban Background",32.9366741666667
-3.022722,53.37287,176,2020-07-25,29,"TRAN","Wirral Tranmere","Urban Background",31.2957645833333
-2.030371,52.605641,176,2020-07-25,30,"WAL4","Walsall Woodlands","Urban Background",35.29132125
0.290917,52.2985,176,2020-07-25,31,"WFEN","Wicken Fen","Rural Background",38.81983125
-2.638139,53.54914,176,2020-07-25,32,"WIG5","Wigan Centre","Urban Background",30.52451
-3.2429,55.79216,177,2020-07-26,1,"ACTH","Auchencorth Moss","Rural Background",40.5244925
-1.874978,52.476145,177,2020-07-26,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",28.5385108333333
-3.205782,55.862281,177,2020-07-26,3,"BUSH","Bush Estate","Rural Background",45.00996625
-1.560189,52.411628,177,2020-07-26,4,"COAL","Coventry Allesley","Urban Background",34.6004495833333
-3.182186,55.945589,177,2020-07-26,7,"ED3","Edinburgh St Leonards","Urban Background",42.20143375
-5.101102,56.82266,177,2020-07-26,8,"FW","Fort William","Suburban Background",47.8922325
-4.243631,55.865782,177,2020-07-26,9,"GLKP","Glasgow Townhead","Urban Background",38.2177395833333
-0.460861,51.49633,177,2020-07-26,10,"HIL","London Hillingdon","Urban Background",18.3542045833333
-0.341222,53.74878,177,2020-07-26,11,"HUL2","Hull Freetown","Urban Background",34.2255633333333
-1.127182,52.619904,177,2020-07-26,12,"LECU","Leicester University","Urban Background",29.4026216666667
-2.73684,52.221593,177,2020-07-26,13,"LEOM","Leominster","Suburban Background",34.054405
-7.900328,54.43951,177,2020-07-26,14,"LN","Lough Navar","Rural Background",35.6682883333333
-2.238917,53.371722,177,2020-07-26,15,"MAHG","Manchester Sharston","Suburban Industrial",29.8377954166667
-2.237881,53.48152,177,2020-07-26,16,"MAN3","Manchester Piccadilly","Urban Background",22.48073
-9.903917,53.326444,177,2020-07-26,17,"MH","Mace Head","Rural Background",56.7236145833333
-1.610528,54.97825,177,2020-07-26,18,"NEWC","Newcastle Centre","Urban Background",31.89031625
1.302686,52.614823,177,2020-07-26,19,"NO12","Norwich Lakenfields","Urban Background",39.2744075
-1.146447,52.95473,177,2020-07-26,20,"NOTT","Nottingham Centre","Urban Background",32.3331129166667
-0.916605,52.272257,177,2020-07-26,21,"NTN4","Northampton Spring Park","Urban Background",36.2385866666667
1.04901,51.777874,177,2020-07-26,22,"OSY","St Osyth","Rural Background",39.7816466666667
-3.196527,55.657472,177,2020-07-26,23,"PEEB","Peebles","Urban Background",38.5580841666667
-4.142361,50.37167,177,2020-07-26,24,"PLYM","Plymouth Centre","Urban Background",33.0156695833333
0.678331,51.544166,177,2020-07-26,25,"SEND","Southend-on-Sea","Urban Background",31.6145225
1.463497,52.2944,177,2020-07-26,26,"SIB","Sibton","Rural Background",38.6008579166667
-2.175133,53.02821,177,2020-07-26,27,"STOK","Stoke-on-Trent Centre","Urban Background",34.71270875
-1.406878,54.88361,177,2020-07-26,28,"SUN2","Sunderland Silksworth","Urban Background",33.8174145833333
-3.022722,53.37287,177,2020-07-26,29,"TRAN","Wirral Tranmere","Urban Background",35.10699875
-2.030371,52.605641,177,2020-07-26,30,"WAL4","Walsall Woodlands","Urban Background",35.7999491666667
0.290917,52.2985,177,2020-07-26,31,"WFEN","Wicken Fen","Rural Background",34.1534970833333
-2.638139,53.54914,177,2020-07-26,32,"WIG5","Wigan Centre","Urban Background",33.4002575
-3.2429,55.79216,178,2020-07-27,1,"ACTH","Auchencorth Moss","Rural Background",39.81698875
-1.874978,52.476145,178,2020-07-27,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",27.8150695833333
-3.205782,55.862281,178,2020-07-27,3,"BUSH","Bush Estate","Rural Background",36.2503675
-1.560189,52.411628,178,2020-07-27,4,"COAL","Coventry Allesley","Urban Background",33.9476895833333
-3.182186,55.945589,178,2020-07-27,7,"ED3","Edinburgh St Leonards","Urban Background",31.54037625
-5.101102,56.82266,178,2020-07-27,8,"FW","Fort William","Suburban Background",45.0023758333333
-4.243631,55.865782,178,2020-07-27,9,"GLKP","Glasgow Townhead","Urban Background",26.2112533333333
-0.460861,51.49633,178,2020-07-27,10,"HIL","London Hillingdon","Urban Background",22.9159041666667
-0.341222,53.74878,178,2020-07-27,11,"HUL2","Hull Freetown","Urban Background",36.2538316666667
-1.127182,52.619904,178,2020-07-27,12,"LECU","Leicester University","Urban Background",30.6139004166667
-2.73684,52.221593,178,2020-07-27,13,"LEOM","Leominster","Suburban Background",37.8988991666667
-7.900328,54.43951,178,2020-07-27,14,"LN","Lough Navar","Rural Background",39.3090541666667
-2.238917,53.371722,178,2020-07-27,15,"MAHG","Manchester Sharston","Suburban Industrial",34.8069483333333
-2.237881,53.48152,178,2020-07-27,16,"MAN3","Manchester Piccadilly","Urban Background",25.6433608333333
-9.903917,53.326444,178,2020-07-27,17,"MH","Mace Head","Rural Background",56.4309125
-1.610528,54.97825,178,2020-07-27,18,"NEWC","Newcastle Centre","Urban Background",28.6209716666667
1.302686,52.614823,178,2020-07-27,19,"NO12","Norwich Lakenfields","Urban Background",37.8365333333333
-1.146447,52.95473,178,2020-07-27,20,"NOTT","Nottingham Centre","Urban Background",33.85414125
-0.916605,52.272257,178,2020-07-27,21,"NTN4","Northampton Spring Park","Urban Background",36.484585
