"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-1.478096,53.378622,195,2020-08-13,25,"SHDG","Sheffield Devonshire Green","Urban Background",15.433375
-1.395757,50.908173,195,2020-08-13,26,"SOUT","Southampton Centre","Urban Background",19.5440416666667
-1.406878,54.88361,195,2020-08-13,27,"SUN2","Sunderland Silksworth","Urban Background",6.99104166666667
-3.022722,53.37287,195,2020-08-13,28,"TRAN","Wirral Tranmere","Urban Background",13.2342083333333
-2.638139,53.54914,195,2020-08-13,29,"WIG5","Wigan Centre","Urban Background",12.2063333333333
-3.002829,53.042282,195,2020-08-13,30,"WREX","Wrexham","Urban Traffic",17.4087916666667
-2.094278,57.15736,196,2020-08-14,1,"ABD","Aberdeen","Urban Background",3.99570833333333
-3.2429,55.79216,196,2020-08-14,2,"ACTH","Auchencorth Moss","Rural Background",4.012375
-5.928833,54.59965,196,2020-08-14,3,"BEL2","Belfast Centre","Urban Background",9.15008333333333
-1.874978,52.476145,196,2020-08-14,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",15.7676666666667
-3.007175,53.80489,196,2020-08-14,5,"BLC2","Blackpool Marton","Urban Background",8.40025
-1.918235,52.481346,196,2020-08-14,6,"BMLD","Birmingham Ladywood","Urban Background",15.33125
-1.454946,53.244131,196,2020-08-14,7,"CHLG","Chesterfield Loundsley Green","Urban Background",8.75879166666667
-1.456928,53.231751,196,2020-08-14,8,"CHS7","Chesterfield Roadside","Urban Traffic",9.044875
-1.560189,52.411628,196,2020-08-14,9,"COAL","Coventry Allesley","Urban Background",12.3084166666667
-2.334139,53.48481,196,2020-08-14,10,"ECCL","Salford Eccles","Urban Background",7.30941666666667
-3.182186,55.945589,196,2020-08-14,11,"ED3","Edinburgh St Leonards","Urban Background",3.686125
-4.238214,55.860936,196,2020-08-14,12,"GHSR","Glasgow High Street","Urban Traffic",4.56370833333333
-4.734421,55.944079,196,2020-08-14,13,"GKA8","Greenock A8 Roadside","Urban Traffic",6.88979166666667
-4.243631,55.865782,196,2020-08-14,14,"GLKP","Glasgow Townhead","Urban Background",5.80792307692308
-0.037418,51.449674,196,2020-08-14,15,"HP1","London Honor Oak Park","Urban Background",11.250125
-0.213492,51.52105,196,2020-08-14,16,"KC1","London N. Kensington","Urban Background",10.2113333333333
-1.533119,52.28881,196,2020-08-14,17,"LEAM","Leamington Spa","Urban Background",12.210125
-7.900328,54.43951,196,2020-08-14,18,"LN","Lough Navar","Rural Background",9.45370833333333
1.302686,52.614823,196,2020-08-14,19,"NO12","Norwich Lakenfields","Urban Background",14.0202916666667
-1.146447,52.95473,196,2020-08-14,20,"NOTT","Nottingham Centre","Urban Background",9.94104166666667
-1.260278,51.744806,196,2020-08-14,21,"OX8","Oxford St Ebbes","Urban Background",15.400125
-2.680353,53.76559,196,2020-08-14,22,"PRES","Preston","Urban Background",6.25395833333333
0.634889,51.45617,196,2020-08-14,23,"ROCH","Rochester Stoke","Rural Background",16.470125
0.678331,51.544166,196,2020-08-14,24,"SEND","Southend-on-Sea","Urban Background",13.2292083333333
-1.478096,53.378622,196,2020-08-14,25,"SHDG","Sheffield Devonshire Green","Urban Background",8.93183333333333
-1.395757,50.908173,196,2020-08-14,26,"SOUT","Southampton Centre","Urban Background",15.563125
-1.406878,54.88361,196,2020-08-14,27,"SUN2","Sunderland Silksworth","Urban Background",2.81158333333333
-3.022722,53.37287,196,2020-08-14,28,"TRAN","Wirral Tranmere","Urban Background",8.93379166666667
-2.638139,53.54914,196,2020-08-14,29,"WIG5","Wigan Centre","Urban Background",6.897625
-3.002829,53.042282,196,2020-08-14,30,"WREX","Wrexham","Urban Traffic",17.212125
-2.094278,57.15736,197,2020-08-15,1,"ABD","Aberdeen","Urban Background",4.20591666666667
-3.2429,55.79216,197,2020-08-15,2,"ACTH","Auchencorth Moss","Rural Background",3.04054166666667
-5.928833,54.59965,197,2020-08-15,3,"BEL2","Belfast Centre","Urban Background",11.7050416666667
-1.874978,52.476145,197,2020-08-15,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",12.544375
-3.007175,53.80489,197,2020-08-15,5,"BLC2","Blackpool Marton","Urban Background",8.082875
-1.918235,52.481346,197,2020-08-15,6,"BMLD","Birmingham Ladywood","Urban Background",12.3595
-1.454946,53.244131,197,2020-08-15,7,"CHLG","Chesterfield Loundsley Green","Urban Background",10.9424583333333
-1.456928,53.231751,197,2020-08-15,8,"CHS7","Chesterfield Roadside","Urban Traffic",11.815
-1.560189,52.411628,197,2020-08-15,9,"COAL","Coventry Allesley","Urban Background",10.15725
-2.334139,53.48481,197,2020-08-15,10,"ECCL","Salford Eccles","Urban Background",9.66691666666667
-3.182186,55.945589,197,2020-08-15,11,"ED3","Edinburgh St Leonards","Urban Background",2.980625
-4.238214,55.860936,197,2020-08-15,12,"GHSR","Glasgow High Street","Urban Traffic",7.17583333333333
-4.734421,55.944079,197,2020-08-15,13,"GKA8","Greenock A8 Roadside","Urban Traffic",6.06045833333333
-4.243631,55.865782,197,2020-08-15,14,"GLKP","Glasgow Townhead","Urban Background",7.74370833333333
-0.037418,51.449674,197,2020-08-15,15,"HP1","London Honor Oak Park","Urban Background",15.4020416666667
-0.213492,51.52105,197,2020-08-15,16,"KC1","London N. Kensington","Urban Background",13.0445
-1.533119,52.28881,197,2020-08-15,17,"LEAM","Leamington Spa","Urban Background",8.66670833333333
-7.900328,54.43951,197,2020-08-15,18,"LN","Lough Navar","Rural Background",10.8195
1.302686,52.614823,197,2020-08-15,19,"NO12","Norwich Lakenfields","Urban Background",13.8010833333333
-1.146447,52.95473,197,2020-08-15,20,"NOTT","Nottingham Centre","Urban Background",11.5350833333333
-1.260278,51.744806,197,2020-08-15,21,"OX8","Oxford St Ebbes","Urban Background",9.80845833333333
-2.680353,53.76559,197,2020-08-15,22,"PRES","Preston","Urban Background",6.66670833333333
0.634889,51.45617,197,2020-08-15,23,"ROCH","Rochester Stoke","Rural Background",28.7470833333333
0.678331,51.544166,197,2020-08-15,24,"SEND","Southend-on-Sea","Urban Background",23.7962083333333
-1.478096,53.378622,197,2020-08-15,25,"SHDG","Sheffield Devonshire Green","Urban Background",12.4499583333333
-1.395757,50.908173,197,2020-08-15,26,"SOUT","Southampton Centre","Urban Background",15.6505416666667
